datetime,open,close,high,low,contract,avg
2023-04-26 10:00:00,96.39,96.4,96.4,96.39,TL9999.CCFX,96.394
2023-04-26 10:05:00,96.41,96.41,96.41,96.41,TL9999.CCFX,96.41
2023-04-26 10:10:00,96.41,96.41,96.41,96.4,TL9999.CCFX,96.40899999999999
2023-04-26 10:15:00,96.41,96.41,96.41,96.41,TL9999.CCFX,96.41
2023-04-26 10:20:00,96.41,96.42,96.42,96.41,TL9999.CCFX,96.41474
2023-04-26 10:25:00,96.43,96.43,96.43,96.43,TL9999.CCFX,96.43
2023-04-26 10:30:00,96.43,96.46,96.46,96.43,TL9999.CCFX,96.44023999999999
2023-04-26 10:35:00,96.47,96.45,96.51,96.45,TL9999.CCFX,96.47192
2023-04-26 10:40:00,96.46,96.46,96.46,96.45,TL9999.CCFX,96.45721999999999
2023-04-26 10:45:00,96.46,96.46,96.46,96.46,TL9999.CCFX,96.46
2023-04-26 10:50:00,96.45,96.44,96.45,96.44,TL9999.CCFX,96.44449999999999
2023-04-26 10:55:00,96.44,96.43,96.44,96.43,TL9999.CCFX,96.436
2023-04-26 11:00:00,96.44,96.44,96.44,96.43,TL9999.CCFX,96.43912
2023-04-26 11:05:00,96.44,96.43,96.44,96.42,TL9999.CCFX,96.43128
2023-04-26 11:10:00,96.42,96.43,96.43,96.42,TL9999.CCFX,96.424
2023-04-26 11:15:00,96.43,96.44,96.44,96.42,TL9999.CCFX,96.42948
2023-04-26 11:20:00,96.43,96.42,96.43,96.41,TL9999.CCFX,96.42564
2023-04-26 11:25:00,96.42,96.4,96.42,96.39,TL9999.CCFX,96.41194
2023-04-26 11:30:00,96.39,96.39,96.39,96.39,TL9999.CCFX,96.39
2023-04-26 13:00:00,96.4,96.4,96.4,96.4,TL9999.CCFX,96.4
2023-04-26 13:05:00,96.4,96.39,96.4,96.38,TL9999.CCFX,96.38730000000001
2023-04-26 13:10:00,96.4,96.4,96.4,96.39,TL9999.CCFX,96.39942
2023-04-26 13:15:00,96.4,96.41,96.41,96.4,TL9999.CCFX,96.40799999999999
2023-04-26 13:20:00,96.41,96.42,96.42,96.41,TL9999.CCFX,96.412
2023-04-26 13:25:00,96.42,96.43,96.43,96.42,TL9999.CCFX,96.4288
2023-04-26 13:30:00,96.43,96.44,96.44,96.43,TL9999.CCFX,96.43338
2023-04-26 13:35:00,96.44,96.43,96.45,96.43,TL9999.CCFX,96.43954
2023-04-26 13:40:00,96.43,96.39,96.43,96.39,TL9999.CCFX,96.41722
2023-04-26 13:45:00,96.4,96.38,96.41,96.38,TL9999.CCFX,96.39518000000001
2023-04-26 13:50:00,96.38,96.4,96.4,96.38,TL9999.CCFX,96.39200000000001
2023-04-26 13:55:00,96.41,96.41,96.41,96.41,TL9999.CCFX,96.41
2023-04-26 14:00:00,96.41,96.38,96.41,96.38,TL9999.CCFX,96.38376
2023-04-26 14:05:00,96.38,96.4,96.4,96.38,TL9999.CCFX,96.394
2023-04-26 14:10:00,96.4,96.41,96.41,96.4,TL9999.CCFX,96.40599999999999
2023-04-26 14:15:00,96.41,96.41,96.41,96.41,TL9999.CCFX,96.41
2023-04-26 14:20:00,96.41,96.4,96.42,96.4,TL9999.CCFX,96.40979999999999
2023-04-26 14:25:00,96.4,96.4,96.4,96.39,TL9999.CCFX,96.39992000000001
2023-04-26 14:30:00,96.4,96.41,96.41,96.4,TL9999.CCFX,96.40606
2023-04-26 14:35:00,96.42,96.41,96.42,96.41,TL9999.CCFX,96.41866
